"","mod","ll","sig","regg"
"2227","2,1,3,3,0,3,12",199.993145954466,0.0102084231895817,"2,3"
"2230","2,1,3,3,0,3,12",199.679484027218,0.0102364265387423,"2"
"1856","2,1,2,3,0,3,24",199.662761443258,0.0102379216654072,"2,5"
"3382","3,1,3,3,0,3,12",199.503714382861,0.0102521526067011,"2"
"1922","2,1,3,0,0,0,12",198.920804629106,0.0103044785233394,"2,3,5"
"1930","2,1,3,0,0,0,24",198.920804629106,0.0103044785233394,"2,3,5"
"1854","2,1,2,3,0,3,24",198.250827993144,0.0103649501161627,"2"
"3296","3,1,3,2,0,3,24",198.188558135297,0.0103705885397988,"2,5"
"3293","3,1,3,2,0,3,24",198.044170961903,0.0103836743431019,"5"
"3291","3,1,3,2,0,3,24",197.957734114711,0.0103915160106509,"2,3"
"1924","2,1,3,0,0,0,12",197.723513519786,0.0104127945971505,"3,5"
"1932","2,1,3,0,0,0,24",197.723513519786,0.0104127945971505,"3,5"
"3295","3,1,3,2,0,3,24",197.559840846699,0.0104276898688542,"3"
"3294","3,1,3,2,0,3,24",197.510208926221,0.0104322109034397,"2"
"2906","3,1,2,2,0,3,24",197.440892861193,0.0104385282723031,"2,3,5"
"2522","3,1,1,2,0,3,24",197.424446439332,0.0104400277375407,"2,3,5"
"2139","2,1,3,2,0,3,24",197.418349762613,0.0104405836429436,"2,3"
"3289","3,1,3,2,0,3,24",197.199937729582,0.0104605183625828,"0"
"2144","2,1,3,2,0,3,24",197.147753293602,0.0104652869273321,"2,5"
"1850","2,1,2,3,0,3,24",196.977668043705,0.0104808442517899,"2,3,5"
"1754","2,1,2,2,0,3,24",196.952521356903,0.0104831463256024,"2,3,5"
"2141","2,1,3,2,0,3,24",196.878063752198,0.0104899655728519,"5"
"2908","3,1,2,2,0,3,24",196.82197507915,0.0104951054189752,"3,5"
"2524","3,1,1,2,0,3,24",196.814307269676,0.0104958082762976,"3,5"
"2143","2,1,3,2,0,3,24",196.613538806172,0.0105142281525038,"3"
"1939","2,1,3,0,0,3,12",196.600858794505,0.0105153925884692,"2,3"
"2142","2,1,3,2,0,3,24",196.516564160213,0.0105231368463935,"2"
"3386","3,1,3,3,0,3,24",196.498977306401,0.0105247532925341,"2,3,5"
"2122","2,1,3,2,0,0,24",196.461609841085,0.0105281886421872,"2,3,5"
"2124","2,1,3,2,0,0,24",196.212864384816,0.0105510854613685,"3,5"
"1756","2,1,2,2,0,3,24",196.207907352287,0.0105515422579276,"3,5"
"2137","2,1,3,2,0,3,24",196.029431205433,0.0105680022324287,"0"
"1370","2,1,1,2,0,3,24",196.01625578679,0.0105692183535199,"2,3,5"
"3370","3,1,3,3,0,0,24",195.912315533382,0.0105788171833096,"2,3,5"
"3274","3,1,3,2,0,0,24",195.895148803946,0.0105804033606609,"2,3,5"
"1840","2,1,2,3,0,0,24",195.835340434733,0.0105859314127843,"2,5"
"1838","2,1,2,3,0,0,24",195.686916300409,0.0105996626486724,"2"
"1928","2,1,3,0,0,0,12",195.596027823609,0.0106080798509036,"2,5"
"1936","2,1,3,0,0,0,24",195.596027823609,0.0106080798509036,"2,5"
"3276","3,1,3,2,0,0,24",195.51199918278,0.0106158677084862,"3,5"
"1944","2,1,3,0,0,3,12",195.389553745123,0.0106272263097803,"2,5"
"1372","2,1,1,2,0,3,24",195.385173830642,0.0106276328358299,"3,5"
"3380","3,1,3,3,0,3,12",195.209329016744,0.0106439668959214,"3,5"
"1074","1,1,3,3,0,3,12",195.065545622343,0.0106573414549493,"2,3,5"
"3282","3,1,3,2,0,3,12",195.040019037775,0.0106597176632903,"2,3,5"
"1080","1,1,3,3,0,3,12",195.038585861386,0.010659851089939,"2,5"
"986","1,1,3,2,0,3,24",194.833163693332,0.0106789928821518,"2,3,5"
"3362","3,1,3,3,0,0,12",194.555218765721,0.0107049472698331,"2,3,5"
"3194","3,1,3,1,0,3,24",194.489542955647,0.0107110892589556,"2,3,5"
"3284","3,1,3,2,0,3,12",194.468166168035,0.0107130891721029,"3,5"
"2123","2,1,3,2,0,0,24",194.461310208857,0.0107137306629416,"2,3"
"2912","3,1,2,2,0,3,24",194.403698057121,0.0107191227711431,"2,5"
"1738","2,1,2,2,0,0,24",194.397042204285,0.0107197458888493,"2,3,5"
"602","1,1,2,2,0,3,24",194.394506085196,0.0107199833286158,"2,3,5"
